               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.025032,           0.0040137,          0.00051346,             0.84347,             0.78265,             0.83859,             0.53587,            0.039608,           0.0027816,          0.00088338,            0.008736,            0.008736,            0.008736
                  81,            0.026425,           0.0045912,          0.00050274,             0.88271,             0.79175,             0.83841,             0.52472,            0.039221,           0.0028266,          0.00090879,             0.00872,             0.00872,             0.00872
                  82,            0.025249,           0.0046851,          0.00048186,             0.85885,             0.78526,             0.83039,             0.53499,            0.038376,            0.002765,          0.00081174,            0.008704,            0.008704,            0.008704
                  83,            0.025096,            0.003685,           0.0004273,             0.84332,             0.78692,             0.81302,             0.52978,            0.040617,           0.0027317,          0.00094383,            0.008688,            0.008688,            0.008688
                  84,            0.025063,           0.0042779,          0.00047685,             0.82354,             0.76812,             0.82073,             0.53642,            0.039902,           0.0026728,          0.00089197,            0.008672,            0.008672,            0.008672
                  85,              0.0257,           0.0041141,          0.00053944,             0.85329,             0.81333,             0.83658,             0.53692,            0.039144,           0.0028313,          0.00089843,            0.008656,            0.008656,            0.008656
                  86,            0.025448,           0.0037326,           0.0005208,             0.85109,             0.77097,              0.8319,             0.51051,            0.041003,           0.0027858,           0.0010046,             0.00864,             0.00864,             0.00864
                  87,            0.025722,           0.0041758,          0.00047794,             0.88225,             0.75212,             0.82974,             0.51037,            0.042158,           0.0028294,          0.00093157,            0.008624,            0.008624,            0.008624
                  88,            0.025595,           0.0047428,          0.00050571,             0.84983,             0.79054,             0.83211,             0.53921,            0.040038,           0.0028672,          0.00079319,            0.008608,            0.008608,            0.008608
                  89,             0.02488,           0.0034581,          0.00048485,             0.87807,             0.78838,             0.84822,              0.5535,            0.040716,           0.0026523,          0.00073447,            0.008592,            0.008592,            0.008592
                  90,            0.024611,           0.0043837,           0.0004729,             0.83567,             0.80118,             0.82763,             0.54624,            0.039533,           0.0027413,           0.0007771,            0.008576,            0.008576,            0.008576
                  91,            0.024373,           0.0040793,          0.00050442,             0.87264,             0.81183,             0.84649,             0.54218,            0.040416,           0.0026441,          0.00089203,             0.00856,             0.00856,             0.00856
                  92,             0.02519,           0.0046218,          0.00046739,             0.87066,              0.7671,             0.82894,             0.52869,            0.041874,           0.0028082,          0.00083354,            0.008544,            0.008544,            0.008544
                  93,            0.025415,           0.0044746,          0.00046164,             0.88053,              0.7852,             0.85144,             0.55075,            0.040561,           0.0027504,          0.00075109,            0.008528,            0.008528,            0.008528
                  94,            0.024233,            0.003519,          0.00044246,             0.86081,             0.78915,             0.82558,             0.54191,            0.039958,           0.0027894,          0.00079103,            0.008512,            0.008512,            0.008512
                  95,            0.024383,             0.00418,          0.00046015,             0.89094,             0.80363,             0.85791,             0.54014,            0.039807,           0.0027223,          0.00062126,            0.008496,            0.008496,            0.008496
                  96,            0.023795,           0.0037141,          0.00043231,              0.8792,             0.79075,             0.84733,             0.55485,            0.039485,           0.0028579,          0.00058953,             0.00848,             0.00848,             0.00848
                  97,             0.02383,           0.0044574,          0.00050199,             0.88365,             0.76917,             0.83523,             0.54326,            0.038495,           0.0027852,          0.00076611,            0.008464,            0.008464,            0.008464
                  98,            0.023675,           0.0039253,          0.00043124,             0.84321,             0.80943,             0.84792,             0.54953,            0.038529,           0.0027801,          0.00092912,            0.008448,            0.008448,            0.008448
                  99,            0.025292,           0.0043102,          0.00046463,             0.81737,             0.80284,              0.8279,             0.53734,            0.038022,           0.0027851,          0.00085585,            0.008432,            0.008432,            0.008432
                 100,            0.024036,           0.0038558,          0.00042926,             0.89503,              0.7731,             0.84058,             0.52994,            0.040011,           0.0028307,           0.0010237,            0.008416,            0.008416,            0.008416
                 101,            0.024422,           0.0043383,           0.0004795,             0.80418,             0.81613,             0.81874,             0.51851,            0.040687,           0.0028649,           0.0010828,              0.0084,              0.0084,              0.0084
                 102,            0.023721,           0.0034159,          0.00039889,             0.85452,             0.76475,              0.8474,             0.53125,            0.040165,           0.0028417,          0.00095161,            0.008384,            0.008384,            0.008384
                 103,            0.024011,           0.0040864,          0.00041596,             0.89912,             0.72553,             0.82796,             0.54032,            0.040317,           0.0029612,          0.00095605,            0.008368,            0.008368,            0.008368
                 104,            0.024116,           0.0042959,          0.00042632,             0.88579,              0.7683,              0.8355,             0.53954,            0.039772,            0.002946,          0.00091293,            0.008352,            0.008352,            0.008352
                 105,            0.023845,           0.0039046,          0.00047926,             0.90722,             0.76776,             0.83614,             0.53653,            0.040116,           0.0028089,          0.00075691,            0.008336,            0.008336,            0.008336
                 106,            0.023302,           0.0036679,          0.00045487,             0.87717,             0.77336,             0.83636,             0.53993,            0.039729,           0.0028625,          0.00074915,             0.00832,             0.00832,             0.00832
                 107,            0.023739,           0.0045133,          0.00041068,             0.83482,             0.76083,              0.7934,             0.52539,            0.041107,           0.0030147,          0.00075233,            0.008304,            0.008304,            0.008304
                 108,            0.023431,           0.0039033,          0.00042823,             0.83402,             0.76444,             0.80852,              0.5278,            0.040954,           0.0028448,          0.00062121,            0.008288,            0.008288,            0.008288
